start_idx_attack,end_idx_attack,attack_duration,time_to_detect,idx_detection_abs,idx_detection_rel,attack_len,attack_type,fpr,tpr,pr,rec,tn,fp,fn,tp,target_fpr,detected
2843994,2866880,0 days 00:00:26.637122,0 days 00:00:00,2843994,0,19560,WILL_DDoS_AD,,0.23333333333333334,1.0,0.23333333333333334,,0,14996,4564,0.05,1
2888575,2908795,0 days 00:00:23.557431,0 days 00:00:23.557431,2908795,17257,17258,WILL_DDoS_AD,,0.0,0.0,0.0,,0,17258,0,0.05,0
2932391,2945054,0 days 00:00:18.258248,0 days 00:00:18.258248,2945054,10428,10429,WILL_DDoS_AD,,0.0,0.0,0.0,,0,10429,0,0.05,0
2945466,2957008,0 days 00:00:14.784301,0 days 00:00:14.784301,2957008,9921,9922,WILL_DDoS_AD,,0.0,0.0,0.0,,0,9922,0,0.05,0
2967253,2977589,0 days 00:00:15.727286,0 days 00:00:00.610977,2967854,575,8446,WILL_DDoS_AD,,0.52758702344305,1.0,0.52758702344305,,0,3990,4456,0.05,1
3037447,3059858,0 days 00:00:27.616451,0 days 00:00:27.616451,3059858,18896,18897,WILL_DDoS_AD,,0.0,0.0,0.0,,0,18897,0,0.05,0
3064638,3076849,0 days 00:00:14.172959,0 days 00:00:14.172959,3076849,10341,10342,WILL_DDoS_AD,,0.0,0.0,0.0,,0,10342,0,0.05,0
3091002,3112914,0 days 00:00:26.285856,0 days 00:00:26.285856,3112914,19050,19051,WILL_DDoS_AD,,0.0,0.0,0.0,,0,19051,0,0.05,0
3128490,3146139,0 days 00:00:24.065447,0 days 00:00:19.968905,3143715,13077,15102,WILL_DDoS_AD,,0.09422593034035227,1.0,0.09422593034035227,,0,13679,1423,0.05,1
3152819,3159163,0 days 00:00:10.631139,0 days 00:00:00,3152819,0,5309,WILL_DDoS_AD,,0.487097381804483,1.0,0.487097381804483,,0,2723,2586,0.05,1
3179521,3191294,0 days 00:00:13.553005,0 days 00:00:00.006331,3179535,8,10158,WILL_DDoS_AD,,0.7020082693443591,1.0,0.7020082693443591,,0,3027,7131,0.05,1
